data,concelho,var,n
2008/3 Trimestre,Cascais,Preço de Venda / m2,1819
2008/3 Trimestre,Lisboa,Preço de Venda / m2,2111
2008/3 Trimestre,Loures,Preço de Venda / m2,1290
2008/3 Trimestre,Oeiras,Preço de Venda / m2,1707
2008/3 Trimestre,Sintra,Preço de Venda / m2,1220
2008/3 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1457
2008/3 Trimestre,Amadora,Preço de Venda / m2,1464
2008/3 Trimestre,Odivelas,Preço de Venda / m2,1509
2008/3 Trimestre,Almada,Preço de Venda / m2,1397
2008/3 Trimestre,Palmela,Preço de Venda / m2,949
2008/3 Trimestre,Seixal,Preço de Venda / m2,1424
2008/3 Trimestre,Sesimbra,Preço de Venda / m2,1078
2008/3 Trimestre,Setúbal,Preço de Venda / m2,1046
2008/3 Trimestre,Gondomar,Preço de Venda / m2,1008
2008/3 Trimestre,Maia,Preço de Venda / m2,847
2008/3 Trimestre,Matosinhos,Preço de Venda / m2,1427
2008/3 Trimestre,Porto,Preço de Venda / m2,1902
2008/3 Trimestre,Vila do Conde,Preço de Venda / m2,837
2008/3 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1220
2008/3 Trimestre,Cascais,Fogos Vendidos,961
2008/3 Trimestre,Lisboa,Fogos Vendidos,2620
2008/3 Trimestre,Loures,Fogos Vendidos,882
2008/3 Trimestre,Mafra,Fogos Vendidos,344
2008/3 Trimestre,Oeiras,Fogos Vendidos,717
2008/3 Trimestre,Sintra,Fogos Vendidos,1389
2008/3 Trimestre,Vila Franca de Xira,Fogos Vendidos,521
2008/3 Trimestre,Amadora,Fogos Vendidos,597
2008/3 Trimestre,Odivelas,Fogos Vendidos,484
2008/3 Trimestre,Gondomar,Fogos Vendidos,811
2008/3 Trimestre,Maia,Fogos Vendidos,515
2008/3 Trimestre,Matosinhos,Fogos Vendidos,700
2008/3 Trimestre,Porto,Fogos Vendidos,1147
2008/3 Trimestre,Vila do Conde,Fogos Vendidos,336
2008/3 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1204
2008/3 Trimestre,Almada,Fogos Vendidos,805
2008/3 Trimestre,Palmela,Fogos Vendidos,383
2008/3 Trimestre,Seixal,Fogos Vendidos,658
2008/3 Trimestre,Sesimbra,Fogos Vendidos,261
2008/3 Trimestre,Setúbal,Fogos Vendidos,624
2008/4 Trimestre,Cascais,Preço de Venda / m2,2233
2008/4 Trimestre,Lisboa,Preço de Venda / m2,2095
2008/4 Trimestre,Loures,Preço de Venda / m2,1389
2008/4 Trimestre,Mafra,Preço de Venda / m2,1330
2008/4 Trimestre,Oeiras,Preço de Venda / m2,1827
2008/4 Trimestre,Sintra,Preço de Venda / m2,1189
2008/4 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1594
2008/4 Trimestre,Amadora,Preço de Venda / m2,1251
