data,concelho,var,n
2008/3 Trimestre,Loures,Valor de Oferta / m2,1562
2008/3 Trimestre,Mafra,Valor de Oferta / m2,1352
2008/3 Trimestre,Oeiras,Valor de Oferta / m2,1929
2008/3 Trimestre,Sintra,Valor de Oferta / m2,1363
2008/3 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1374
2008/3 Trimestre,Amadora,Valor de Oferta / m2,1639
2008/3 Trimestre,Odivelas,Valor de Oferta / m2,1472
2008/3 Trimestre,Alcochete,Valor de Oferta / m2,1156
2008/3 Trimestre,Almada,Valor de Oferta / m2,1583
2008/3 Trimestre,Barreiro,Valor de Oferta / m2,1144
2008/3 Trimestre,Moita,Valor de Oferta / m2,1091
2008/3 Trimestre,Montijo,Valor de Oferta / m2,1279
2008/3 Trimestre,Palmela,Valor de Oferta / m2,1236
2008/3 Trimestre,Seixal,Valor de Oferta / m2,1365
2008/3 Trimestre,Sesimbra,Valor de Oferta / m2,1475
2008/3 Trimestre,Setúbal,Valor de Oferta / m2,1274
2008/3 Trimestre,Espinho,Valor de Oferta / m2,1362
2008/3 Trimestre,Gondomar,Valor de Oferta / m2,1013
2008/3 Trimestre,Maia,Valor de Oferta / m2,1098
2008/3 Trimestre,Matosinhos,Valor de Oferta / m2,1615
2008/3 Trimestre,Porto,Valor de Oferta / m2,1923
2008/3 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1335
2008/3 Trimestre,Valongo,Valor de Oferta / m2,882
2008/3 Trimestre,Vila do Conde,Valor de Oferta / m2,1191
2008/3 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1153
2008/4 Trimestre,Cascais,Fogos em Oferta,5040
2008/4 Trimestre,Lisboa,Fogos em Oferta,8530
2008/4 Trimestre,Loures,Fogos em Oferta,1782
2008/4 Trimestre,Mafra,Fogos em Oferta,538
2008/4 Trimestre,Oeiras,Fogos em Oferta,3402
2008/4 Trimestre,Sintra,Fogos em Oferta,4262
2008/4 Trimestre,Vila Franca de Xira,Fogos em Oferta,2023
2008/4 Trimestre,Amadora,Fogos em Oferta,3716
2008/4 Trimestre,Odivelas,Fogos em Oferta,2527
2008/4 Trimestre,Alcochete,Fogos em Oferta,498
2008/4 Trimestre,Almada,Fogos em Oferta,2650
2008/4 Trimestre,Barreiro,Fogos em Oferta,504
2008/4 Trimestre,Moita,Fogos em Oferta,350
2008/4 Trimestre,Montijo,Fogos em Oferta,1103
2008/4 Trimestre,Palmela,Fogos em Oferta,636
2008/4 Trimestre,Seixal,Fogos em Oferta,3235
2008/4 Trimestre,Sesimbra,Fogos em Oferta,1230
2008/4 Trimestre,Setúbal,Fogos em Oferta,2066
2008/4 Trimestre,Espinho,Fogos em Oferta,53
2008/4 Trimestre,Gondomar,Fogos em Oferta,1260
2008/4 Trimestre,Maia,Fogos em Oferta,1186
2008/4 Trimestre,Matosinhos,Fogos em Oferta,2692
2008/4 Trimestre,Porto,Fogos em Oferta,4585
2008/4 Trimestre,Póvoa de Varzim,Fogos em Oferta,684
2008/4 Trimestre,Valongo,Fogos em Oferta,551
2008/4 Trimestre,Vila do Conde,Fogos em Oferta,403
2008/4 Trimestre,Vila Nova de Gaia,Fogos em Oferta,3066
2008/4 Trimestre,Cascais,Valor de Oferta / m2,2114
2008/4 Trimestre,Lisboa,Valor de Oferta / m2,2579
2008/4 Trimestre,Loures,Valor de Oferta / m2,1543
2008/4 Trimestre,Mafra,Valor de Oferta / m2,1358
2008/4 Trimestre,Oeiras,Valor de Oferta / m2,1905
2008/4 Trimestre,Sintra,Valor de Oferta / m2,1357
2008/4 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1398
2008/4 Trimestre,Amadora,Valor de Oferta / m2,1608
2008/4 Trimestre,Odivelas,Valor de Oferta / m2,1475
2008/4 Trimestre,Alcochete,Valor de Oferta / m2,1176
2008/4 Trimestre,Almada,Valor de Oferta / m2,1571
2008/4 Trimestre,Barreiro,Valor de Oferta / m2,1141
2008/4 Trimestre,Moita,Valor de Oferta / m2,1071
2008/4 Trimestre,Montijo,Valor de Oferta / m2,1279
2008/4 Trimestre,Palmela,Valor de Oferta / m2,1249
2008/4 Trimestre,Seixal,Valor de Oferta / m2,1319
2008/4 Trimestre,Sesimbra,Valor de Oferta / m2,1457
2008/4 Trimestre,Setúbal,Valor de Oferta / m2,1281
2008/4 Trimestre,Espinho,Valor de Oferta / m2,1322
2008/4 Trimestre,Gondomar,Valor de Oferta / m2,1035
2008/4 Trimestre,Maia,Valor de Oferta / m2,1128
2008/4 Trimestre,Matosinhos,Valor de Oferta / m2,1658
2008/4 Trimestre,Porto,Valor de Oferta / m2,1931
2008/4 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1309
2008/4 Trimestre,Valongo,Valor de Oferta / m2,954
2008/4 Trimestre,Vila do Conde,Valor de Oferta / m2,1265
2008/4 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1163
2009/1 Trimestre,Cascais,Fogos em Oferta,4969
2009/1 Trimestre,Lisboa,Fogos em Oferta,8635
2009/1 Trimestre,Loures,Fogos em Oferta,1827
2009/1 Trimestre,Mafra,Fogos em Oferta,466
2009/1 Trimestre,Oeiras,Fogos em Oferta,3373
2009/1 Trimestre,Sintra,Fogos em Oferta,4565
2009/1 Trimestre,Vila Franca de Xira,Fogos em Oferta,2557
2009/1 Trimestre,Amadora,Fogos em Oferta,3676
2009/1 Trimestre,Odivelas,Fogos em Oferta,1547
2009/1 Trimestre,Alcochete,Fogos em Oferta,326
2009/1 Trimestre,Almada,Fogos em Oferta,2203
2009/1 Trimestre,Barreiro,Fogos em Oferta,79
2009/1 Trimestre,Moita,Fogos em Oferta,52
2009/1 Trimestre,Montijo,Fogos em Oferta,1126
2009/1 Trimestre,Palmela,Fogos em Oferta,629
2009/1 Trimestre,Seixal,Fogos em Oferta,3519
2009/1 Trimestre,Sesimbra,Fogos em Oferta,1245
2009/1 Trimestre,Setúbal,Fogos em Oferta,2099
2009/1 Trimestre,Espinho,Fogos em Oferta,94
2009/1 Trimestre,Gondomar,Fogos em Oferta,1577
2009/1 Trimestre,Maia,Fogos em Oferta,1500
